id	name	metabolites	lower_bound	upper_bound	gene_reaction_rule	subsystem	notes	annotation	objective_coefficient
EX_pyr_e	Pyruvate exchange	{'pyr_e': -1.0}	0.0	1000.0		Extracellular exchange	{'original_bigg_ids': ['EX_pyr_e']}	{'bigg.reaction': ['EX_pyr_e'], 'biocyc': ['META:TRANS-RXN0-506', 'META:TRANS-RXN0-570'], 'metanetx.reaction': ['MNXR103384'], 'sabiork': ['12168'], 'sbo': 'SBO:0000627', 'seed.reaction': ['rxn10929', 'rxn09218']}	
EX_succ_e	Succinate exchange	{'succ_e': -1.0}	0.0	1000.0		Extracellular exchange	{'original_bigg_ids': ['EX_succ_e']}	{'bigg.reaction': ['EX_succ_e'], 'biocyc': ['META:TRANS-RXN0-552'], 'metanetx.reaction': ['MNXR104619'], 'sbo': 'SBO:0000627', 'seed.reaction': ['rxn10952', 'rxn09271']}	
FBA	Fructose-bisphosphate aldolase	{'dhap_c': 1.0, 'fdp_c': -1.0, 'g3p_c': 1.0}	-1000.0	1000.0	b2097 or b1773 or b2925	Glycolysis/Gluconeogenesis	{'original_bigg_ids': ['FBA']}	{'bigg.reaction': ['FBA'], 'ec-code': ['4.1.2.13'], 'kegg.reaction': ['R01068'], 'metanetx.reaction': ['MNXR99459'], 'rhea': ['14729', '14732', '14731', '14730'], 'sabiork': ['1338'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn00786']}	
FBP	Fructose-bisphosphatase	{'f6p_c': 1.0, 'fdp_c': -1.0, 'h2o_c': -1.0, 'pi_c': 1.0}	0.0	1000.0	b3925 or b4232	Glycolysis/Gluconeogenesis	{'original_bigg_ids': ['FBP']}	{'bigg.reaction': ['FBP'], 'ec-code': ['3.1.3.11'], 'metanetx.reaction': ['MNXR99465'], 'rhea': ['11067', '11065', '11066', '11064'], 'sabiork': ['2084'], 'sbo': 'SBO:0000176'}	
FORt2	Formate transport in via proton symport	{'for_c': 1.0, 'for_e': -1.0, 'h_c': 1.0, 'h_e': -1.0}	0.0	1000.0	b0904 or b2492	Transport, Extracellular	{'original_bigg_ids': ['FORt2']}	{'bigg.reaction': ['FORt2'], 'metanetx.reaction': ['MNXR99621'], 'sbo': 'SBO:0000185', 'seed.reaction': ['rxn08524', 'rxn05559']}	
FORt	Formate transport via diffusion	{'for_c': 1.0, 'for_e': -1.0}	-1000.0	0.0	b0904 or b2492	Transport, Extracellular	{'original_bigg_ids': ['FORti']}	{'bigg.reaction': ['FORt'], 'biocyc': ['META:TRANS-RXN-1'], 'metanetx.reaction': ['MNXR99620'], 'reactome.reaction': ['R-HSA-6803255'], 'rhea': ['29681', '29680', '29682', '29679'], 'sabiork': ['12483'], 'sbo': 'SBO:0000185', 'seed.reaction': ['rxn09754', 'rxn08525', 'rxn09682', 'rxn08526']}	
FRD7	Fumarate reductase	{'fum_c': -1.0, 'q8_c': 1.0, 'q8h2_c': -1.0, 'succ_c': 1.0}	0.0	1000.0	b4151 and b4152 and b4153 and b4154	Oxidative Phosphorylation	{'original_bigg_ids': ['FRD7']}	{'bigg.reaction': ['FRD7'], 'metanetx.reaction': ['MNXR99641'], 'rhea': ['29190', '29189', '29187', '29188'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn09272']}	
FRUpts2	Fructose transport via PEP:Pyr PTS (f6p generating)	{'f6p_c': 1.0, 'fru_e': -1.0, 'pep_c': -1.0, 'pyr_c': 1.0}	0.0	1000.0	b1817 and b1818 and b1819 and b2415 and b2416	Transport, Extracellular	{'original_bigg_ids': ['FRUpts2']}	{'bigg.reaction': ['FRUpts2'], 'metanetx.reaction': ['MNXR99662'], 'sbo': 'SBO:0000185'}	
FUM	Fumarase	{'fum_c': -1.0, 'h2o_c': -1.0, 'mal__L_c': 1.0}	-1000.0	1000.0	b1612 or b4122 or b1611	Citric Acid Cycle	{'original_bigg_ids': ['FUM']}	{'bigg.reaction': ['FUM'], 'biocyc': ['META:FUMHYDR-RXN'], 'ec-code': ['4.2.1.2'], 'kegg.reaction': ['R01082'], 'metanetx.reaction': ['MNXR99705'], 'reactome.reaction': ['R-TGU-451033', 'R-TGU-70982', 'R-HSA-70982', 'R-ATH-451033', 'R-SPO-70982', 'R-SPO-451033', 'R-XTR-451033', 'R-MMU-70982', 'R-DRE-70982', 'R-DME-70982', 'R-DME-451033', 'R-HSA-451033', 'R-SCE-451033', 'R-DDI-451033', 'R-OSA-451033', 'R-CFA-70982', 'R-XTR-70982', 'R-MMU-451033', 'R-OSA-70982', 'R-BTA-70982', 'R-DRE-451033', 'R-GGA-373141', 'R-RNO-451033', 'R-CEL-451033', 'R-ATH-70982', 'R-GGA-373145', 'R-CEL-70982', 'R-BTA-451033', 'R-SSC-451033', 'R-SCE-70982', 'R-CFA-451033', 'R-RNO-70982', 'R-GGA-70982', 'R-DDI-70982', 'R-GGA-451033', 'R-SSC-70982'], 'rhea': ['12463', '12461', '12462', '12460'], 'sabiork': ['256'], 'sbo': 'SBO:0000176', 'seed.reaction': ['rxn00799']}	
FUMt2_2	Fumarate transport via proton symport (2 H)	{'fum_c': 1.0, 'fum_e': -1.0, 'h_c': 2.0, 'h_e': -2.0}	0.0	1000.0	b3528	Transport, Extracellular	{'original_bigg_ids': ['FUMt2_2']}	{'bigg.reaction': ['FUMt2_2'], 'biocyc': ['META:TRANS-RXN-121B'], 'metanetx.reaction': ['MNXR99711'], 'rhea': ['29332', '29334', '29333', '29331'], 'sbo': 'SBO:0000185', 'seed.reaction': ['rxn08542', 'rxn10152']}	
